place_id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?,photo,address
ChIJuw1VZ0tawokRJbjRretbzwM,Sheraton Brooklyn New York Hotel,1481,0,274.6798262885968,2,4.0,0,15,1,['CmRaAAAAgR6Qh_yl9bpvA5wnpXtK-I8vIaOixCPtr-N19KqyXE-lIKFxHF8y6qLsADkpxOMH1sMay-pyuWBYr7rVUq8XK09esCbay0CbGq1gO4azJrMq9OC92trcf_lU-VaY01pUEhD7hjRsQCyJOcg23BTFy1teGhQVWGrxUvI4p9ndziS8xNMBp3nveg'],"228 Duffield St, Brooklyn, NY 11201, USA"
ChIJuw1VZ0tawokRJbjRretbzwM,Sheraton Brooklyn New York Hotel,1481,0,274.6798262885968,2,4.0,0,15,1,['CmRaAAAAgR6Qh_yl9bpvA5wnpXtK-I8vIaOixCPtr-N19KqyXE-lIKFxHF8y6qLsADkpxOMH1sMay-pyuWBYr7rVUq8XK09esCbay0CbGq1gO4azJrMq9OC92trcf_lU-VaY01pUEhD7hjRsQCyJOcg23BTFy1teGhQVWGrxUvI4p9ndziS8xNMBp3nveg'],"228 Duffield St, Brooklyn, NY 11201, USA"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,434,0,374.8955559111027,2,4.2,0,20,1,['CmRaAAAAxGE_OommlgVqSS6gclXpabUg4S3lPr-fTwQGbhvxe93ha0--49OF94T5DcIwJnT71-n5tgvZgg0nG9DnMxOe9ozKEHAcwdH21v-IqkJV8A5dxNR_xVdkcbfJhvP-qAhlEhDxlb4qLbxLUVrhIcu8Vw3KGhRVvPjdutZtoPGcZAAJKCtUhd5WwQ'],"27 Smith St, Brooklyn, NY 11201, USA"
ChIJwdYJE0xawokR5phCkzS9TUA,Sophie's Cuban Cuisine,434,0,374.8955559111027,2,4.2,0,20,1,['CmRaAAAAxGE_OommlgVqSS6gclXpabUg4S3lPr-fTwQGbhvxe93ha0--49OF94T5DcIwJnT71-n5tgvZgg0nG9DnMxOe9ozKEHAcwdH21v-IqkJV8A5dxNR_xVdkcbfJhvP-qAhlEhDxlb4qLbxLUVrhIcu8Vw3KGhRVvPjdutZtoPGcZAAJKCtUhd5WwQ'],"27 Smith St, Brooklyn, NY 11201, USA"
ChIJn6HFQ0xawokRXMlJK1gBZD8,Dallas BBQ,3236,0,429.2077936603237,2,4.1,0,60,0,['CmRZAAAA1CHeoOyIQrS4DdqYLeO3qM4vepftsQfoYN6FT0jpmPzsGP3O0qEZY4RLm1t6Y3XeBYBiPZMZ43jIwO9W-yu9bXs15FSjYSEBwwl30x3q9MLu8F7kxJME7hZ8U4PdRcoKEhCt-2zzkzvKLHCZ-_wyhwYcGhRXcIuW0XbzZxrzqzlIV0jOCOglFQ'],"180 Livingston St, Brooklyn, NY 11201, USA"
ChIJn6HFQ0xawokRXMlJK1gBZD8,Dallas BBQ,3236,0,429.2077936603237,2,4.1,0,120,0,['CmRZAAAA1CHeoOyIQrS4DdqYLeO3qM4vepftsQfoYN6FT0jpmPzsGP3O0qEZY4RLm1t6Y3XeBYBiPZMZ43jIwO9W-yu9bXs15FSjYSEBwwl30x3q9MLu8F7kxJME7hZ8U4PdRcoKEhCt-2zzkzvKLHCZ-_wyhwYcGhRXcIuW0XbzZxrzqzlIV0jOCOglFQ'],"180 Livingston St, Brooklyn, NY 11201, USA"
ChIJUSwK_UtawokRSrPzsarZbUI,Shake Shack,3086,0,294.27360338354043,2,4.3,0,30,0,['CmRaAAAA4UnOSeBk0IScnEs8vL8dRDJwp1qAUvQOyZYSC-yJKNrTi2G58Jf3xfVwMtXnZTlMEbbwc6KWXnrZVgAUuE5toXaOxVkSIwokUTBNOYO7VipDYbHu8VGE-A1rnZw_De8qEhCtpa9X5vURhhPf8wGwwre3GhRysGs935USbUTGNwZFXxsSIKSbWw'],"409 Fulton St, Brooklyn, NY 11201, USA"
ChIJUSwK_UtawokRSrPzsarZbUI,Shake Shack,3086,0,294.27360338354043,2,4.3,0,30,0,['CmRaAAAA4UnOSeBk0IScnEs8vL8dRDJwp1qAUvQOyZYSC-yJKNrTi2G58Jf3xfVwMtXnZTlMEbbwc6KWXnrZVgAUuE5toXaOxVkSIwokUTBNOYO7VipDYbHu8VGE-A1rnZw_De8qEhCtpa9X5vURhhPf8wGwwre3GhRysGs935USbUTGNwZFXxsSIKSbWw'],"409 Fulton St, Brooklyn, NY 11201, USA"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,776,0,256.071826001963,2,4.0,0,15,0,['CmRaAAAAH4l1Zwhsy4LFq58cGEQ1k3FLR3NpR4KPX7IxiJaRzMwVrNhK8xEi88kIFf_uQ6CEKISRKUBAUfMi9b_CPgfV0nS9eMGyR7NYKmxd0x34gwJVzOjY-jrQTbui7NHIEznBEhBNax52KpRKZJ-4a4N54lE7GhRWB4Kor_R-jAIlSokUkHtMZkvT3w'],"345 Adams St, Brooklyn, NY 11201, USA"
ChIJKVaX10tawokRjKN9MeLYA_c,Panera Bread,776,0,256.071826001963,2,4.0,0,45,0,['CmRaAAAAH4l1Zwhsy4LFq58cGEQ1k3FLR3NpR4KPX7IxiJaRzMwVrNhK8xEi88kIFf_uQ6CEKISRKUBAUfMi9b_CPgfV0nS9eMGyR7NYKmxd0x34gwJVzOjY-jrQTbui7NHIEznBEhBNax52KpRKZJ-4a4N54lE7GhRWB4Kor_R-jAIlSokUkHtMZkvT3w'],"345 Adams St, Brooklyn, NY 11201, USA"
ChIJSewXH0lawokRd-0KiJE8dEI,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,1,['CmRaAAAAhn-d0sS42z8sEojSW2mwFxecz4IFV8ApuTWDvpnL0Vd7LKPeFDn21pEfSv0m6-TOc_aVauMfXr5t7gNTkyUbzP8QJrKQy6O-J2sj-rz1zF_9_fVF_ussfLA6rUZv1smSEhA1laRnz_BGSWAG5FZ0QStoGhR8KTbAz7jlEIy0t3HQhdPzA0xkUQ'],"175 Remsen St, Brooklyn, NY 11201, USA"
