id,name,rating_n,opening_hours,distance,price_level,rating,frequency,time_spent,Went?
1,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,56
2,Sheraton Brooklyn New York Hotel,1480,0,274.6798262885968,2,4.0,0,15,56
3,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,63
4,Sophie's Cuban Cuisine,433,0,374.8955559111027,2,4.2,0,20,63
5,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,60,24
6,Dallas BBQ,3235,0,429.2077936603237,2,4.1,0,120,24
7,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,18
8,Shake Shack,3082,0,294.27360338354043,2,4.3,0,30,18
9,Panera Bread,776,0,256.071826001963,2,4.0,0,15,31
10,Panera Bread,776,0,256.071826001963,2,4.0,0,45,31
11,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,86
12,Perelandra Natural Food Center,489,0,471.78070780861617,2,4.5,0,20,86
13,Luciano's,368,0,81.0013247112889,2,4.1,0,15,23
14,Luciano's,368,0,81.0013247112889,2,4.1,0,15,23
15,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,56
16,Au Bon Pain,136,0,59.350003835049804,2,3.8,0,15,56
17,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,56
18,Papa John's Pizza,128,0,225.07136113726528,1,3.7,0,15,56
19,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,63
20,New Golden Fried Dumpling,275,0,194.51022314562607,1,4.1,0,20,63
21,Burger King,1122,0,284.9861290588254,1,3.6,0,10,56
22,Burger King,1122,0,284.9861290588254,1,3.6,0,45,56
23,Amarachi,782,0,477.9351868201139,2,4.1,0,15,12
24,Amarachi,782,0,477.9351868201139,2,4.1,0,15,12
25,Cafe Metro,142,0,75.96447272494879,2,3.6,0,15,66
26,Cafe Metro,142,0,75.96447272494879,2,3.6,0,15,66
27,Tio Pio,189,0,201.0432998538932,1,3.8,0,15,66
28,Tio Pio,189,0,201.0432998538932,1,3.8,0,15,66
29,McDonald's,1017,0,339.6213207693014,1,3.4,0,25,56
30,McDonald's,1017,0,339.6213207693014,1,3.4,0,25,56
31,Brooklyn Brewhouse,387,0,315.0948960677183,2,3.9,0,15,25
32,Brooklyn Brewhouse,387,0,315.0948960677183,2,3.9,0,15,25
33,Five Guys,779,0,27.29211227215678,2,4.2,0,30,56
34,Five Guys,779,0,27.29211227215678,2,4.2,0,30,56
35,Eight Turn Crepe,93,0,376.36388245849275,2,4.6,0,15,56
36,Eight Turn Crepe,93,0,376.36388245849275,2,4.6,0,15,56
